FIPSTATE,FIPSCTY,NAICS,EMP_NF,EMP,QP1_NF,QP1,AP_NF,PAYANN,ESTAB,N<5,N5_9,N10_19,N20_49,N50_99,N100_249,N250_499,N500_999,N1000,N1000_1,N1000_2,N1000_3,N1000_4,NAICS4,harbor_category,fips,county_name
51,3,5417//,G,1093,G,25799,H,116385,28,9,N,5,6,N,4,N,N,N,N,N,N,N,5417,R&D / Technical Services,51003,Albemarle County
51,3,54171/,G,1068,G,25391,H,114698,27,9,N,5,5,N,4,N,N,N,N,N,N,N,5417,R&D / Technical Services,51003,Albemarle County
51,3,541713,J,224,J,4859,J,21875,4,N,N,N,N,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51003,Albemarle County
51,3,541714,H,141,H,3714,H,13947,5,3,N,N,N,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51003,Albemarle County
51,3,541715,G,703,G,16818,G,78876,18,5,N,3,4,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51003,Albemarle County
51,13,5417//,G,3498,G,103362,G,438720,67,24,5,15,9,6,4,3,N,N,N,N,N,N,5417,R&D / Technical Services,51013,Arlington County
51,13,54171/,G,1345,G,42783,G,194148,53,19,5,14,6,6,3,N,N,N,N,N,N,N,5417,R&D / Technical Services,51013,Arlington County
51,13,541713,H,391,H,11295,H,53602,12,3,N,N,N,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51013,Arlington County
51,13,541715,G,943,G,31303,G,139734,40,16,3,11,4,4,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51013,Arlington County
51,13,54172/,G,2153,G,60579,G,244572,14,5,N,N,3,N,N,3,N,N,N,N,N,N,5417,R&D / Technical Services,51013,Arlington County
51,13,541720,G,2153,G,60579,G,244572,14,5,N,N,3,N,N,3,N,N,N,N,N,N,5417,R&D / Technical Services,51013,Arlington County
51,41,5417//,H,67,H,805,H,4337,14,12,N,N,N,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51041,Chesterfield County
51,41,54171/,H,67,H,805,H,4266,13,11,N,N,N,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51041,Chesterfield County
51,41,541714,J,49,J,351,J,1996,3,N,N,N,N,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51041,Chesterfield County
51,41,541715,J,18,G,454,G,2270,10,9,N,N,N,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51041,Chesterfield County
51,59,5417//,G,17619,G,495729,G,2488124,169,75,23,19,19,13,10,3,5,N,N,N,N,N,5417,R&D / Technical Services,51059,Fairfax County
51,59,54171/,G,17445,G,492925,G,2475607,142,57,19,16,17,13,10,3,5,N,N,N,N,N,5417,R&D / Technical Services,51059,Fairfax County
51,59,541713,H,6572,H,168039,J,930059,30,11,3,5,N,4,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51059,Fairfax County
51,59,541714,J,328,J,5890,J,25718,10,5,N,N,N,N,N,N,N,N,N,N,N,N,5417,R&D / Technical Services,51059,Fairfax County
